"pkey","user","usergroup"
"6553","108","2"
"6552","108","6"
"6551","108","12"
"6550","108","4"
"53740","250","5"
"53739","250","21"
"53738","250","65"
"29567","125","37"
"81309","150","29"
"33087","235","37"
"33086","235","72"
"33085","235","62"
"33084","235","11"
"33083","235","7"
"33082","235","69"
"33081","235","67"
"33080","235","13"
"33079","235","56"
"33078","235","44"
"33077","235","58"
"33076","235","39"
"33075","235","40"
"33074","235","73"
"33073","235","71"
"33072","235","3"
"33071","235","66"
"33070","235","41"
"33069","235","15"
"33068","235","5"
"33067","235","21"
"5902","83","12"
"5901","83","4"
"65163","110","26"
"46110","111","26"
"46112","112","26"
"9083","113","11"
"9082","113","7"
"9081","113","13"
"9080","113","3"
"9079","113","15"
"9078","113","5"
"9077","113","21"
"9076","113","30"
"9075","113","26"
"9074","113","9"
"9073","113","23"
"9072","113","10"
"9071","113","8"
"9070","113","29"
"9069","113","25"
"9068","113","14"
"9067","113","28"
"9066","113","19"
"9065","113","20"
"9064","113","31"
"9063","113","27"
"9062","113","35"
"9061","113","16"
"16026","114","13"
"46111","115","26"
"66863","5","48"
"66676","2","45"
"55846","167","55"
"81580","80","69"
"27359","187","60"
"31864","186","60"
"76989","13","58"
"30507","75","50"
"81305","116","29"
"68026","82","50"
"68025","82","8"
"53737","250","47"
"66675","2","52"
"5924","83","11"
"76988","13","39"
"81273","43","114"
"81272","43","69"
"55855","185","60"
"66862","5","68"
"77519","3","21"
"9060","113","2"
"45440","126","37"
"30506","75","8"
"33066","235","65"
"81579","80","67"
"81578","80","13"
"68859","45","84"
"76987","13","40"
"81577","80","56"
"32037","118","30"
"81576","80","58"
"68024","82","45"
"53736","250","64"
"66674","2","29"
"76986","13","73"
"30505","75","45"
"45439","126","11"
"6572","108","7"
"6573","108","11"
"9059","113","6"
"68858","45","30"
"30504","75","52"
"33065","235","47"
"77518","3","65"
"81271","43","67"
"66861","5","23"
"81302","119","30"
"81575","80","39"
"59059","120","31"
"81270","43","13"
"66860","5","10"
"9058","113","12"
"56073","121","32"
"68023","82","52"
"68022","82","61"
"76985","13","71"
"76984","13","3"
"53735","250","84"
"53734","250","30"
"51343","154","72"
"51342","154","62"
"66673","2","25"
"66672","2","14"
"66859","5","50"
"77517","3","47"
"77516","3","64"
"68857","45","26"
"68856","45","48"
"30503","75","61"
"30502","75","54"
"33064","235","64"
"33063","235","30"
"81574","80","40"
"81269","43","56"
"45438","126","7"
"45437","126","13"
"25932","122","34"
"37099","137","41"
"44742","123","42"
"44741","123","55"
"44740","123","37"
"44739","123","72"
"44738","123","62"
"44737","123","11"
"44736","123","7"
"44735","123","69"
"44734","123","67"
"44733","123","13"
"44732","123","56"
"44731","123","58"
"44730","123","39"
"44729","123","40"
"44728","123","73"
"44727","123","71"
"44726","123","3"
"44725","123","66"
"44724","123","41"
"44723","123","15"
"44722","123","5"
"44721","123","21"
"44720","123","65"
"44719","123","47"
"44718","123","64"
"44717","123","30"
"44716","123","26"
"9551","124","35"
"68021","82","57"
"51341","154","11"
"53733","250","26"
"66671","2","44"
"66670","2","28"
"37898","183","58"
"76983","13","66"
"30501","75","57"
"68855","45","68"
"68854","45","9"
"77515","3","30"
"77514","3","26"
"44715","123","68"
"81268","43","58"
"81573","80","73"
"33062","235","26"
"33061","235","68"
"66858","5","8"
"66857","5","45"
"29566","125","11"
"29565","125","7"
"29564","125","13"
"29563","125","56"
"29562","125","44"
"29561","125","58"
"29560","125","39"
"29559","125","40"
"29558","125","3"
"29557","125","41"
"29556","125","15"
"29555","125","5"
"29554","125","21"
"29553","125","47"
"29552","125","30"
"29551","125","26"
"29550","125","9"
"29549","125","34"
"29548","125","23"
"29547","125","10"
"29546","125","50"
"29545","125","8"
"29544","125","45"
"29543","125","52"
"29542","125","54"
"9057","113","32"
"9056","113","4"
"66669","2","38"
"45436","126","56"
"45435","126","58"
"45434","126","39"
"45433","126","40"
"45432","126","3"
"45431","126","41"
"45430","126","15"
"45429","126","5"
"45428","126","21"
"45427","126","47"
"45426","126","30"
"45425","126","26"
"45424","126","9"
"45423","126","34"
"45422","126","23"
"45421","126","10"
"45420","126","50"
"45419","126","8"
"45418","126","45"
"45417","126","52"
"45416","126","61"
"45415","126","54"
"45414","126","57"
"45413","126","29"
"45412","126","25"
"45411","126","14"
"45410","126","44"
"45409","126","28"
"81572","80","71"
"68020","82","29"
"53732","250","48"
"66668","2","19"
"9084","113","37"
"51340","154","7"
"76982","13","132"
"66856","5","52"
"81267","43","39"
"30500","75","29"
"44714","123","9"
"29541","125","57"
"45408","126","38"
"33060","235","23"
"53731","250","68"
"77513","3","48"
"81571","80","3"
"68853","45","34"
"20805","128","37"
"53855","129","29"
"57185","130","38"
"42894","131","58"
"12742","132","40"
"81570","80","66"
"81569","80","132"
"81568","80","126"
"68019","82","25"
"68018","82","14"
"68017","82","44"
"53730","250","93"
"53729","250","9"
"53728","250","34"
"44713","123","34"
"44712","123","79"
"44711","123","23"
"77512","3","68"
"77511","3","79"
"77510","3","23"
"53727","250","79"
"53726","250","23"
"53725","250","89"
"51339","154","69"
"51338","154","67"
"51337","154","13"
"66667","2","54"
"66666","2","46"
"66665","2","51"
"81266","43","40"
"81265","43","73"
"81264","43","71"
"29540","125","29"
"29539","125","25"
"29538","125","14"
"30499","75","25"
"30498","75","14"
"30497","75","28"
"66855","5","61"
"66854","5","57"
"66853","5","29"
"68852","45","79"
"68851","45","23"
"68850","45","10"
"76981","13","126"
"76980","13","41"
"76979","13","15"
"45407","126","19"
"45406","126","46"
"45405","126","51"
"33059","235","10"
"33058","235","50"
"33057","235","8"
"77509","3","10"
"43529","133","13"
"16027","134","13"
"20135","135","11"
"81263","43","3"
"30496","75","38"
"33056","235","45"
"66852","5","25"
"53724","250","10"
"77508","3","50"
"29537","125","28"
"68849","45","50"
"45404","126","20"
"81567","80","41"
"13981","138","42"
"44710","123","10"
"77507","3","8"
"68848","45","8"
"53723","250","50"
"81262","43","66"
"37098","139","43"
"18987","140","43"
"53722","250","8"
"53721","250","45"
"66664","2","20"
"66663","2","27"
"66851","5","14"
"76978","13","5"
"29536","125","38"
"29535","125","19"
"30495","75","19"
"30494","75","46"
"66850","5","44"
"66849","5","28"
"44709","123","50"
"81261","43","132"
"77506","3","45"
"33055","235","52"
"33054","235","61"
"81566","80","15"
"68847","45","45"
"45403","126","48"
"45402","126","27"
"17093","141","44"
"43528","142","13"
"77505","3","52"
"81565","80","5"
"14422","143","45"
"66848","5","38"
"81564","80","21"
"77504","3","61"
"65164","144","46"
"81563","80","127"
"29534","125","46"
